decile,count,n_churners,churn_rate,mean_predicted,lift,cumulative_capture_rate,perfect_capture_rate,headroom
1.0,141.0,108.0,0.7659574468085106,0.7174626253005337,2.885652520195699,0.2887700534759358,0.37700534759358284,0.08823529411764702
2.0,141.0,73.0,0.5177304964539007,0.6183369891133462,1.9504873516137593,0.4839572192513369,0.7540106951871657,0.2700534759358288
3.0,141.0,71.0,0.5035460992907801,0.4923811232404111,1.8970493419805057,0.6737967914438503,1.0,0.3262032085561497
4.0,141.0,43.0,0.3049645390070922,0.3296783257522094,1.1489172071149543,0.7887700534759359,1.0,0.21122994652406413
5.0,141.0,37.0,0.2624113475177305,0.209417596258992,0.9886031782151932,0.8877005347593583,1.0,0.11229946524064172
6.0,141.0,17.0,0.12056737588652482,0.11809024200928944,0.4542230818826563,0.9331550802139037,1.0,0.0668449197860963
7.0,141.0,17.0,0.12056737588652482,0.06844098958460132,0.4542230818826563,0.9786096256684492,1.0,0.021390374331550777
8.0,141.0,6.0,0.0425531914893617,0.044289260682645056,0.16031402889976104,0.9946524064171123,1.0,0.005347593582887722
9.0,141.0,1.0,0.0070921985815602835,0.03468758128943297,0.026719004816626844,0.9973262032085561,1.0,0.002673796791443861
10.0,140.0,1.0,0.007142857142857143,0.030772002572540633,0.02690985485103132,1.0,1.0,0.0
